episode,title_en,title_original,phase,milestones
1,It's Never Too Late for Love,Nunca é tarde para amar,Pods,"A group of singles aged 50 and older enter the pods hoping to find true love based purely on connection."
2,Will You Join Me?,Vem comigo?,Pods,"Connections deepen in the pods leading to emotional revelations, romantic proposals, and first face-to-face reveals."
3,It Takes a Long Time to Become Young,Demora muito tempo pra ficar jovem,Pods,"The remaining singles navigate final connections and proposals before the pod experiment concludes."
4,Love Like in the Movies,Queria um amor de cinema,Pods,"The newly engaged 50+ couples meet face-to-face and get ready for their romantic getaway."
5,Reactions: Never Too Late,React 01: Nunca é tarde,Pods,"Celebrity guest commentary pairs watch and react to the pod dates and proposals."
6,A Forever Honeymoon?,Eterna lua de mel?,Honeymoon,"The engaged couples travel to Trancoso, Bahia, to test their physical chemistry and bond in paradise."
7,One Day at a Time,Um dia de cada vez,Honeymoon,"Couples enjoy retreat activities while confronting personal differences and lifestyle expectations."
8,Go Easy on Me,Pega leve,Moving In Together,"The couples return to São Paulo and move into shared apartments, navigating daily routines and family dynamics."
9,Dress Rehearsal,À prova de tudo!,Moving In Together,"Couples go dress and suit shopping, test their readiness for marriage, and meet each other's inner circles."
10,Reactions: Moving In Together,React 02: Convivência,Moving In Together,"Celebrity commentators analyze the cohabitation phase and ongoing relationship drama."
11,Farewell,Single Life!,Wedding,"The singles celebrate their bachelor and bachelorette parties as final wedding nerves kick in."
12,Is Love Really Blind?,Episódio 12,Wedding,"The couples walk down the aisle to decide whether to say 'I do' or walk away forever."
13,Reactions: Is Love Really Blind?,Episódio 13,Wedding,"Celebrity guest hosts react to the emotional wedding outcomes and final decisions."
