name,age,profession
Elham Ali,38,host
Khaled Saqer,66,Musician
Mohammed Alkiswani,36,Marketing and Brand Manager
Safa Al Jibori,38,Financial Manager
Asma Sami,34,Regional Marketing Manager
Khatab Hindi,32,DJ and Music Producer
Hajar Asli,29,Project Owner
Mohamed Nasrollah,34,Business Owner and Contractor
Chafic Yactine,27,Entrepreneur
Dounia Allbrahim,24,Content Creator
Ammar Zam,32,Dentist
Karma Ben Messaoud,29,Business Owner
Mohamed Gahed,39,Real Estate Agent
Nour El Hajj,29,Model
Yasmine DK,30,HR Manager and Life Coach
Karim Ibrahim,33,Executive Director
"Mohamed ""Simo"" Nasrollah",34,Business Owner and Contractor
"Mohamed ""Mido"" Gahed",39,Real Estate Agent
Ali Alamm,35,Blogger
Al-Jawhara Ajaji,38,Lifestyle Influencer
Rakan Alruwaily,33,Entrepreneur
Rami Alwan,30,Sales Manager
Sara,35,Real Estate Agent
Shereen Abdulla,34,Entrepreneur
