episode,title_en,title_original,phase,milestones
1,Opening the Pods,Les capsules sont ouvertes,Pods,"Teddy Riner and Luthna Plocus welcome French singles to the experiment. As dating begins in the pods, one couple's strong connection leads to a proposal."
2,It's Her or Me,C'est elle ou moi,Pods,"A case of mistaken identity makes for an awkward pod date. Bonds deepen between participants but for some their hearts are pulled in multiple directions."
3,Betrayals,Trahisons,Pods,"A shock announcement causes more upset for one participant, leading her to pursue a third connection. Could too much honesty put another match at risk?"
4,Height Differences,Différence de taille,Honeymoon,"Tough decisions spark joy and heartbreak before the engaged couples jet off to sun-soaked Morocco, where they put their physical connection to the test."
5,Toxic Relationship,Relation toxique,Honeymoon,"While some couples go from strength to strength, others struggle with intimacy and new sides to their partners that didn't surface in the pods."
6,Return to Paris: The Troublesome Exes,Retour à Paris : Les ex de la discorde,Moving in Together,"As one couple faces a crossroad, it's time for real life in Paris. Reunited with phones, families and friends, can they keep the flame alive?"
7,The Queen Mother,La reine mère,Moving in Together,"At the engagement party, some bridges are mended, but for one couple, new drama emerges. Elsewhere, jealousy, broken promises and fear creep in."
8,I Love You... Me Neither,Je t'aime... Moi non plus,Weddings,"It's make or break time for one couple, while another reaches new heights. Bachelor and bachelorette parties offer the participants a moment to unwind."
9,The Big Day,Jour J,Weddings,"The big day has arrived for the remaining couples — but with nerves and doubts swirling, who will say 'I do' and who is prepared to walk away forever?"
10,The Reunion,Les retrouvailles,Reunion,"In the reunion episode, the participants revisit the whirlwind experiment that brought them from the pods to the weddings, with all the drama in between."
