name,age,profession
Takashi Fujii,54,"Comedian, actor, singer, music producer"
Yuka Itaya,51,"Actress and TV presenter"
Ryotaro,32,Hairstylist
Motomi,27,Advertising Salesperson
Wataru,38,Executive
Midori,30,Business Planner
Odacchi,31,Comedian
Nanako,35,Ex-Ballet Instructor
Mizuki,29,Restaurateur
Priyanka,27,Entrepreneur
Ayano,30,Corporate Worker
Shuntaro,56,Consultant
Kaoru,31,Singer-Songwriter
Misaki,31,Baseball Coach in Kenya
Yudai,23,Men's Hairstylist
Nana,31,Online Marketer
Mori,37,Cosmetic Dermatologist
Minami,26,Architecture Firm Staff
Takumi,23,Ex-Maritime Self-Defense Force Officer
Jinya,26,Hair and Makeup Stylist
Atsushi,42,Business Owner
Sho,28,Design Firm Owner
Ryoga,30,Real Estate Agent
Toshie,39,Aromatherapy Instructor
Eri,32,Fitness Trainer
Maki,34,Yoga Instructor
