episode,title_en,title_original,phase,milestones
1,Anyone There?,Tem alguém aí?,Pods,"The singles enter the pods and start chatting with their prospects, whom they can't see. Some connections are instant – and so are some rivalries."
2,"If We Work Together, Everyone Can Get Married","Se organizar direitinho, todo mundo casa?",Pods,"Paulo is torn between two love interests. A few participants wonder if they're being played by Tiago. For some, the pressure is just too much to handle."
3,Junglemoon,Lua de selva,Pods,Paulo and Amanda meet face to face for the first time. Guilherme and Maíra take their relationship a step further. Tiago needs to make a decision.
4,So Was There Chemistry?,Bateu a química?,Honeymoon,Nothing like an exotic Amazon honeymoon to spark some drama! The couples' differences start to arise. Flávia decides to take things slow with Robert.
5,Official Real Life,Vida real oficial,Moving In Together,The honeymoon is over as the couples begin their lives together. Verônica finds out Will already knows someone close to her in the real world.
6,Reality Check,Choque de realidade,Moving In Together,Alisson and Thamara muddle their way through housework and their pasts. Guilherme and Maíra are uncertain about their future.
7,You've Never Eaten Feijoada?,Nunca comeu feijoada?,Moving In Together,"Maíra and Guilherme find common ground, but Vanessa and Tiago keep growing apart. Thamara's past bothers Alisson."
8,Trial by Fire!,Prova de fogo!,Moving In Together,Maíra and Guilherme hit a wall in their relationship. Alisson gives Thamara an ultimatum: She must tell her recent ex about their engagement.
9,"Hit the Floor, Couples!","No chão, noivinhos!",Wedding,Everyone is ready for their bachelor and bachelorette parties. One couple breaks up for good – and another one might be headed the same way.
10,Is Love Blind After All?,Amor às cegas dá casamento?,Wedding,"Only four couples reach the altar. But will there be four marriages? In this surprising season finale, some hearts get broken, while others get smashed."
11,The Reunion,Reencontro,Reunion,The members sit down for an explosive reunion. The fate of each relationship shows that the experiment might be over — but the drama sure isn't .
