name,age,profession
Teddy Riner,37,null
Luthna Plocus,39,communications professional
Alexandre Baud,36,IT Manager
Chloé Le Trung,32,Physiotherapist
Charles Marsigny,37,Entrepreneur
Julie May,34,Event Project Manager
Thomas Belmonte,37,Interior Designer
Kim Musano,33,Lawyer
Van-My,33,Osteopath
Sabrina Sek,34,Real Estate Asset Analyst
Jonathan Debrose-Olivier,37,Chef
Cynthia,30,Luxury Sales Consultant
Yannick Yamanga,35,Special Effects Producer
Tatiana Bazin,39,Entrepreneur
Alice Nguyen,35,Entrepreneur
Anaïs Hody,32,Entrepreneur
Andy,37,Software Engineer
Ben Jeunet,33,Entrepreneur
Cindy,36,Wellness Coach
Clément,34,Investment Fund Manager
David Ostro,32,Financial Advisor
Estelle Hodan,35,Artistic Coordinator
Gallien,37,Entrepreneur
Julien,31,Sales Manager
Lina Sax,30,Digital Designer
Lou,33,Medical Assistant
Ludivine,33,Photographer
Lussea,34,Talent Manager
Mady Dosso,34,Director
Sarah Sadad,33,Interior Designer
Vincent,35,Real Estate Agency Director
Stan Troisne,32,Veterinary Clinic Manager
