name,age,profession
Omar Chaparro,51,"Actor, comedian, television host, singer"
Lucy Chaparro,47,"Actress, host"
Karen Torales,27,Financial Advisor
Fernando Hernandez,27,Operations Manager
Irais Ramirez,30,Attorney
Rene Angeles,34,Doctor
Silvia Delgado,30,Model
Chema Rivera,36,Entrepreneur and Professional Poker Player
Francesca Oettler,27,Indoor Cycling Coach
Willy Salomon,34,Advertising Salesman
Fernanda Riva Palacio,36,Architect
Gerardo Zapiain,33,Musician
Luis Fer Campos,28,Entrepreneur and Creative Director
Mafer Trujillo,29,Marketing Director
Rocio Mirafuentes,36,Human Development Professor
Pamela Torrens,26,Entrepreneur
Alejandra Caletti,28,Opera Singer
Daniel Behar,33,DJ and Entrepreneur
Saul Reyes,35,Aviation Company Manager
Leticia Floresmeyer,35,Communications Specialist
