episode,title_en,title_original,phase,milestones
1,Falling in Love...through a Wall,壁越しの恋,Pods,"Hosts Takashi Fujii and Yuka Itaya meet the men and women looking for love. Comedian Odacchi is a hit with the ladies, but is he marriage material?"
2,"Nice to Meet You, My Beloved",はじめまして愛しい人,Pods,"While one happy couple meets face to face, others struggle to make a mutual connection. A letter correspondence blossoms into something more."
3,Labyrinth of Love,恋の迷路,Pods,"The guys share notes and notice that Ayano has been using the same line on a lot of them. Wanting answers, Midori gets down to business."
4,That’s When You Moved my Heart,その時、心が動いてしまった,Pods,"Restaurateur Mizuki leaves Priya hungry for more. Mori sorts through his emotions and makes his move. Meanwhile, Kaoru tries to slow things down."
5,Just the Two of Us,２人きりのバカンス,Honeymoon,"The engaged couples depart for their romantic getaways, where they'll have plenty of opportunities to get to know each other."
6,Endings and Beginnings,終わりと始まり,Honeymoon,"The more time Nanako spends with Odacchi, the more distance she feels. Yudai starts to have second thoughts. Can romance last outside the pods?"
7,The Cohabitation Test,お試し同棲,Moving In Together,"Things start to get real. After making it through their romantic retreats, the remaining couples see if they can survive living together."
8,Once More on One Knee,２度目のプロポーズ,Moving In Together,"As the wedding day approaches, some start to get cold feet. Can Wataru keep up with Midori's friends? Ryotaro's bad boy looks cause concern."
9,An Ill-Fitting Dress,フィットしないドレス,Wedding,"Laughter and excitement fill the air when Yuka helps the women pick out their wedding dresses. But Priya isn't smiling."
10,"Countdown to ""I Do""",結婚式へのカウントダウン,Wedding,"It's time for Ryotaro to meet the parents. Can Misaki keep his princess happy? Familiar faces return for the bachelor and bachelorette parties."
11,Decision Time,決断の時,Wedding,"Finally, the wedding day arrives. The weather is gorgeous. Friends and family are gathered. But are the brides and grooms ready to tie the knot?"
