episode,title_en,title_original,phase,milestones
1,"So, You're a Recent Cheater?","(same as title_en, this edition airs in English)",Pods,"Optimistic singles from Houston settle into the pods, where some quickly bond over shared interests — while others rub their dates the wrong way."
2,Can I Talk to You for Real?,"(same as title_en, this edition airs in English)",Pods,"One participant feels the pain of an unrequited crush; another makes a heartfelt apology. Intensity builds between two people weighing other options."
3,Blindsided,"(same as title_en, this edition airs in English)",Pods,"A real-life reveal follows the first proposal in the pods. Torn between a sizzling connection and a safer choice, one woman questions her instincts."
4,She's Gone…?,"(same as title_en, this edition airs in English)",Pods,"The fallout from an explosive revelation about a past relationship rocks two romances and a friendship, while another pair leaves the pods as fiancés."
5,Don't Give Up on Me,"(same as title_en, this edition airs in English)",Honeymoon,"Caught off-guard by a shocking decision, a participant seeks closure. Newly engaged couples head to Mexico, where one duo hits a communication breakdown."
6,Going Home,"(same as title_en, this edition airs in English)",Honeymoon,"What was meant to be a dreamy vacation might be a deal-breaking disaster for one couple. In Houston, meetings with family and friends raise questions."
7,First Class Love,"(same as title_en, this edition airs in English)",Moving in Together,"Regretting her actions, a participant asks for a second chance. One man's dishware sparks an argument. Accusations fly between exes at a reunion BBQ."
8,Love Is a Battlefield,"(same as title_en, this edition airs in English)",Moving in Together,"After dramatic meltdowns at the Pod Squad gathering, the couples process the aftermath. Meetings with parents lead to tears and tough conversations."
9,Love on the Rocks,"(same as title_en, this edition airs in English)",Wedding,"Dress fittings stir up heartfelt emotions. As the couples head out on final dates before their wedding days, doubts and differences still loom."
10,"Big, Big Love","(same as title_en, this edition airs in English)",Wedding,"Wedding bells ring, and the remaining couples face a life-changing decision. Will they set aside their uncertainties or leave their partners in the lurch?"
11,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"A year and a half after the wedding ceremonies, this season's participants dig into the drama that emerged from the pods and share where they are now."
