episode,title_en,title_original,phase,milestones
1,The Pods Are Open,Die Pods sind eröffnet,Pods,"The pods are open! Thirty hopeful German singles begin their journey, and several hit it off. One couple is quick to take a big leap of faith."
2,Three Is One Too Many,Drei sind einer zu viel,Pods,"While some rapidly grow deep connections, others worry that the person sitting on the other side of the wall isn't ready for commitment."
3,All on One Card,Alles auf eine Karte,Pods,Tensions run high in both singles' quarters as two participants search their hearts for who they really love. Another couple puts a ring on it.
4,Trouble in Paradise,Zweifel im Paradies,Honeymoon,"The engaged couples go to Crete for a magical honeymoon. Emotional connections are made physical, but some participants are already having doubts."
5,Decidedly Undecided,Entschieden unentschieden,Moving In Together,"Communication is key! Several couples struggle to build deeper intimacy, and others need to establish trust. One participant delivers a shocking message."
6,The Second Chance,Die zweite Chance,Moving In Together,"The honeymoon is over. As the couples settle into cohabitation, several surprising twists alter the dynamic before a big party."
7,Meet My Family,Stresstest Schwiegereltern,Wedding,"One couple turns over a new leaf, while another is stuck in negative patterns. Things get serious when the participants try on wedding outfits."
8,Cold Feet,Kalte Füße,Wedding,"The weddings are approaching fast, creating excitement — and anxiety. Emotions take over when some do not feel ready for the altar."
9,Anything Can Happen at the Altar,Vor dem Altar kann noch alles passieren,Wedding,"The big day has arrived! The couples meet at the altar for the final test of their emotional connection. Is love truly blind?"
10,The Reunion,Das Wiedersehen,Reunion,"From the pods to their current relationship status, the participants come together to revisit their experiences in this reunion special."
