name,age,profession
Jessica Almenäs,48,Swedish TV presenter and reporter
Adde Tzelidis,33,VP of a Security Company
Alexandra Davidsson,33,General Secretary
Amanda Jonegard,34,Economist
Andrea Margareta,36,Gym Studio Owner
Andreas Johansson,39,Firefighter
Catja Lövstrand,32,HR Specialist
Christofer Pocock,34,Self-Employed
Daniel Brodecki,38,Entrepreneur
Emilia Holmqvist,34,Telecommunications Business Manager
Huda Altaly,30,Assistant Nurse
Isabelle Bergman,27,Assistant Nurse & Personal Assistant
Jimmy Bysell,34,Self-Employed
Johan Melin,34,Salesman
Johannes Frimodig,32,Project Manager
Karolina Aless,32,Payroll Controller
Kimia Cousarie,34,Cosmetic Nurse
Krisse-Ly Kuldkepp,30,"Interior Designer, Sales Assistant"
Leila Khodiar,35,Recruiter
Lucas Gustavsson,30,Energy Production Operative Manager
Markus Grahn,29,Training Instruction Consultant
Meira Omar,30,Economist
Milan Grubor,28,Car Salesman
Mohamed Sherif,32,Personal Trainer
Mow Johansson,43,Recruitment Consultant
Nea Jilken,36,Chief Advisor
Nina Norss,31,Destination Manager & Artist
Oskar Nordstrand,32,Financial Advisor
Rasmus Hedenstedt,32,Self-Employed
Sami Mäkinen,29,Social Secretary
Sandra Wigh,36,Yoga Teacher & Artist
Sergio Rincón,38,Soccer Coach & DJ
Victoria Wiklund,36,Resource Educator
