episode,title_en,title_original,phase,milestones
1,The Pods Are Now Open!,Nu är kapslarna öppna!,Pods,"Eager to finally find their perfect matches, singles enter the pods and dates begin. Drama and love triangles — plus a first proposal — swiftly ensue."
2,Will You Marry Me?,Vill du gifta dig med mig?,Pods,"Sparks fly when one engaged couple meets, while another pair lacks chemistry. One single is confronted about his dating demeanor."
3,First Night Together,Första natten tillsammans,Honeymoon,"As the final couples say ""yes"" to engagement, a single looks to quickly mend his broken heart. Honeymoon trips commence, but not all are blissful."
4,Physical Attraction,Fysisk attraktion,Honeymoon,"The pairs wonder if their physical attractions are at the same level as their emotional ones. The full group's first in-person gatherings leave a mark."
5,Time to Move in Together,Dags att flytta ihop,Moving In Together,"After their romantic retreats, the couples see if they can survive living together and meeting the families. One pair faces an alarming rumor."
6,The Bad Boy Always Wins,The bad boy always wins,Moving In Together,"One week after moving in together, the couples throw a joint party where they are confronted with past choices that cast doubt on their futures."
7,Waking Up Alone,Vakna ensam,Moving In Together,"With only two weeks until the weddings, everyone starts to prepare as hesitations linger and tensions mount. One couple comes to a fateful decision."
8,Is It True Love?,Är det äkta kärlek?,Wedding,"Emotions run high as the couples are fitted for the big day. When they cut loose for the bachelor and bachelorette parties, their true feelings surface."
9,The Weddings,Bröllopen,Wedding,Wedding bells ring as the couples face life-changing decisions. Will they set aside their doubts and differences or leave their partners at the altar?
10,The Reunion,Återträffen,Reunion,"In this reunion special, the season's participants sit down for an emotional conversation to clear the air and share where they are now."
11,After the Altar: One Year Later,Efter altaret: Ett år senare,Reunion,"One year after the experiment, two participants invite the others to a crayfish party to discuss their feelings about everything that happened."
12,After the Altar: Crayfishparty and Confrontation,Efter altaret: Kräftskiva och konfrontation,Reunion,Tensions rise as some participants delve into the drama that lingers between them — and not everyone is ready to leave the past behind.
