episode,title_en,title_pl,phase,milestones
1,The Polish Pods Are Open,Kabiny właśnie zostały otwarte!,Pods,"30 Polish singles enter the pods in Warsaw. Initial dates kick off; strong sparks form between Marta & Damian, Julia & Kamil ""Uno"", and Malika & Krzysztof."
2,A Broken Heart Times Two,Podwójnie złamane serce,Pods,"The central love quadrangle takes shape between Daria, Filip, Julita, and Jacek as feelings get complicated across both pods. First proposal happens."
3,Love Quadrangle,Miłosny czworokąt,Pods,"Pod engagements wrap up after intense deliberation in the quadrangle. Pod Reveals: Daria & Filip (Reveal); Julita & Jacek (Reveal); Marta & Damian (Reveal); Julia & Kamil ""Uno"" (Reveal); Malika & Krzysztof (Reveal)."
4,"Handsome, But He's My Friend's Man","Przystojny, ale to jest facet mojej koleżanki",Honeymoon,"Engaged couples fly to Crete, Greece. Physical intimacy deepens for Marta & Damian and Daria & Filip, while Malika and Krzysztof clash over personal habits and communication. Past pod connections create awkward group dynamics during resort gatherings."
5,"Goodbye Paradise, Welcome Life","Żegnaj raju, witaj życie",Honeymoon,"Final resort days bring getaway tensions to a head. Julia & Kamil ""Uno"" face rising trust issues, while Jacek & Julita begin noticing a lack of romantic spark despite their platonic bond."
6,You Can Never Count on Men,Na facetów nigdy nie można liczyć,Moving In Together,"Couples return to Warsaw and move into shared apartments. They meet parents and friends; Julia's family raises heavy skepticism about Kamil ""Uno"", while Krzysztof grows increasingly distant from Malika."
7,Knife In The Back,Nóż w plecy,Moving In Together,"The group reunites with non-engaged pod singles at a cocktail party. Major Scandal: Rumors surface that Krzysztof was unfaithful/flirting with pod contestant Kinga, shattering his relationship with Malika."
8,Our Faces Have Subtitles,Mamy to wypisane na twarzach,Wedding,"Couples confront real-world issues, budget conversations, and lifestyle habits. Wedding prep begins with suit and dress shopping for the remaining couples."
9,Can You Stop Being Yourself?,Możesz przestać być sobą?,Wedding,Pre-Wedding Breakup: Malika & Krzysztof officially end their engagement before reaching the altar following the Kinga scandal. Bachelor/bachelorette parties take place as wedding jitters peak.
10,The Weddings,Śluby,Wedding,"Altar Decisions Made: Daria & Filip: Both Said ""I Do"" (Married); Marta & Damian: Both Said ""I Do"" (Married); Julita & Jacek: Julita said ""I Don't"" (Jacek agreed the romance was missing); Julia & Kamil ""Uno"": Julia said ""I Don't"" (cited trust breaches & third-party rumors at the altar)."
11,The Reunion,Reunion,Reunion,"Cast reunites in Warsaw with Zosia and Andrzej: Daria & Filip: Still married and working through recent life hardships together. Marta & Damian: Still married; sent video updates (building a house, adopting dogs) as they couldn't attend in person. Julia & Kamil ""Uno"" / Julita & Jacek / Malika & Krzysztof: Hash out lingering pod quadrangle drama, the cheating timeline, and post-show breakups."
