episode,title_en,title_original,phase,milestones
1,Is Love Blind?,"(same as title_en, this edition airs in English)",Pods,"This season's singles enter the dating pods and talk romance, religion and sexuality. Who will feel a spark ... and who will find a soulmate?"
2,Will You Marry Me?,"(same as title_en, this edition airs in English)",Pods,"As one couple celebrates their engagement, others follow close behind. Barnett continues to charm the ladies. Jessica grapples with indecision."
3,First Night Together,"(same as title_en, this edition airs in English)",Honeymoon,"The twists and turns keep coming. Giannina redefines the rules, Barnett makes a surprising decision, and the engaged couples depart for paradise."
4,Couples Retreat,"(same as title_en, this edition airs in English)",Honeymoon,One couple's rough night leads to an explosive conversation. Others learn they aren't alone in Mexico. What will happen when old flames reunite?
5,Last Night in Paradise,"(same as title_en, this edition airs in English)",Honeymoon,"As the couples get ready to return to the real world, Jessica and Mark continue to struggle, and Giannina digs into Damian's deepest fears."
6,Moving in Together,"(same as title_en, this edition airs in English)",Moving in Together,"Vanessa and Nick share a surprise with the group. Kelly and Kenny deal with distance, Jessica meets Mark's roommates, and Amber throws a party."
7,Meet the Parents,"(same as title_en, this edition airs in English)",Moving in Together,"Tensions mount between Giannina and Damian. Amber takes Barnett to her childhood home. Cameron braces for a fraught meeting with Lauren's father."
8,Countdown to I Do's,"(same as title_en, this edition airs in English)",Wedding,"With only two weeks left until the weddings, the couples get fitted for suits and gowns. But will lingering doubts lead to drama or new beginnings?"
9,Bachelor & Bachelorette Parties,"(same as title_en, this edition airs in English)",Wedding,"Emotions run high as the couples plan for their futures ... and party like there's no tomorrow. Soon after, the first wedding day arrives."
10,The Weddings,"(same as title_en, this edition airs in English)",Wedding,"Loved ones gather while the remaining couples prepare to become husbands and wives. Who will say ""I do,"" and who will leave the experiment alone?"
11,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"Nick and Vanessa reunite with this season's past and present couples and revisit their highs and lows. Plus, get an update on where they are now."
12,After the Altar: Two Years Later,"(same as title_en, this edition airs in English)",Reunion,"After two years, the Pod Squad gets ready to reunite, sharing personal updates — and dissecting shocking drama — along the way."
13,"After the Altar: Married, Single, and It's Complicated","(same as title_en, this edition airs in English)",Moving Together,"Party prep continues: Damian unpacks his feelings with a familiar “friend,” Amber opens up to Barnett's mom, and Jessica grapples with gift etiquette."
14,After the Altar: Celebrations and Confrontations,"(same as title_en, this edition airs in English)",Reunion,"Tensions mount between Giannina and Damian, Jessica faces a backlash, Diamond deals with a disastrous date, and Barnett and Cameron get sentimental."
