name,age,profession
Steffi Brungs,35,sports journalist and TV presenter
Christian Wackert,34,TV personality
Jessica Streifling,32,Event Manager
Konstantin Streifling,36,Event Manager
Wandi Wrede,31,human resources
Jubriel,28,Store Manager
Josy Wilhelm,29,Flight Attendant
Gunnar Freimuth,37,Entrepreneur
Yasmin,30,IT Consultant
Andreas Winck,38,Key Account Manager
Celia Martinho,29,Content Creator
Nadja Nero,33,Fitness Studio Founder
Dustin,30,High School Teacher
Loan Laurent,26,HR Manager
Jan Bitter,27,Law Student
Simone,31,Software Designer
Alina Rothbauer,28,Marketing Manager
Ilias Pappas,27,Financial Advisor
Hanni Hase,28,Model & Influencer
Daniel Rocco,26,Real Estate Agent
Sally Osei,27,Recruiter
Medina,31,Educator
Shila Hemati,36,Architect
Tolga,34,Sales Representative
Jennifer Zengel,31,Project Manager
Marcel Braun,36,Logistics Manager
Shella Oire,29,Fashion Stylist
Pascal,33,Consultant
Fabio,34,Business Developer
Alberta,27,Social Media Specialist
Hannah,29,Operations Manager
