name,age,profession
Jessica Almenäs,49,Swedish TV presenter and reporter
Alexander Blom,30,Financial Advisor
Alicia Sjöberg,31,Recruiter
Amanda Westin,27,Fashion Sales Manager
Anna Andersson,34,Middle School Teacher
Christian Gharib,32,Payroll Consultant
Eddie Gustafsson,35,Bank Analyst
Emmelie Abrahamsson,33,Accounting Assistant
Gaby Kepinski,35,Self-Employed Marketing Consultant
Germaine,26,Technical Support
Gustav Dolk,29,District Manager of Wellness
Ibbe,34,Event Project Manager
Isabella Winth,31,"Artist & Marketing Specialist"
Jakob Grünberg,34,Chief Marketing Officer
John,28,HR Sales Consultant
Julia Gustafson Berg,32,Event Project Manager
Karin Westerberg,35,Project Manager Media
Karolina Finskas,38,Digital Marketing Student
Mikael Valdivia Diaz,28,Web Editor
Milly Carlsson,32,Event Manager
Nathalie Loveless,26,Content Manager
Nicke Oscarsson,25,Economic Advisor
Niklas Agild,35,"Actor & Golf Sales Representative"
Nora Norin,33,Physical Education Teacher
Ola Jönsson,42,Real Estate Consultant
Olle Lindholm,35,Film Editor
Oscar Lind,29,Technical Sales
Tim Hansson,33,Real Estate Student
Tindra Tamara,30,Tattoo Artist
Wictor Dörrich,32,Global Investment Controller
Yenie Lundbeck,33,Preschool Teacher
