name,age,profession
Darío Barassi,42,"actor, TV host, and comedian"
Wanda Nara,39,"football agent, TV host, and model"
Florencia Fernández,28,Accountant
José Luis Fariña,30,Event host
Julieta Fennema,23,Cellphone technician
Ezequiel Ingrassia,32,Businessman
Emily Ceco,24,Journalism student
Santiago Martínez,29,Businessman
María Emilia Merlo,41,Lawyer
Mauricio Zappacosta,42,Fashion designer
Florfi Frers,27,Personal trainer
"Tomás ""Tom"" Martorello",27,Publicist
Evangelina Novo,29,Lawyer
Roberto Marsicano,28,Rancher
Marino Morduchowicz,45,Broadcaster/audiovisual producer
Matías Moreno,36,Administrative employee
Fernando Marangoni,34,Businessman
Máximo Austi,31,Digital marketing
Nicolás García,29,Event planner
Jerónimo Madero,35,DJ
Franco Ferrer,27,Lifeguard
Tomi Santos,27,Political consultant
Tomás Cohen,35,Digital marketing entrepreneur
Leo Yovanovich,35,Tango teacher
Agustina Pontoriero,29,Administrative employee
Brenda Oviedo,34,Administrative consultant
Sofía Iorio,28,HR recruiter
Macarena Moroño,31,Lawyer
Malena Lollo,23,Music teacher
Mane Caballero,35,Psychologist
Mercedes Bouzon,29,Marketing consultant
Érica Sánchez,34,Administrator
Camila Pittaluga,29,Yoga instructor
Martina Mateini,34,Entrepreneur
