episode,title_en,title_original,phase,milestones
1,The Pods Are Open,"(same as title_en, this edition airs in English)",Pods,"The pods are open for this season's singles. While some take time to choose a partner or make a connection, one's quickly ready to go down on one knee."
2,"Two's a Couple, Three's a Love Triangle","(same as title_en, this edition airs in English)",Pods,"As connections deepen, the singles start to open up to each other and share their vulnerabilities. But is everybody really who they say they are?"
3,He's Here for Fame,"(same as title_en, this edition airs in English)",Pods,"Two more couples prepare to meet face-to-face. With one contestant reeling from a shocking allegation, she's faced with the hardest decision of her life."
4,We Had Sex... Twice!,"(same as title_en, this edition airs in English)",Honeymoon,"Two tangled love triangles are straightened out, but one new fiancee already has doubts. The couples fly to Corfu to put their connections to the test."
5,I Made a Mistake,"(same as title_en, this edition airs in English)",Honeymoon,"As the couples mingle with each other for the first time, sparks seem to be rekindling between two contestants, leaving someone's fiancee out in the cold."
6,"Once a Cheat, Always a Cheat","(same as title_en, this edition airs in English)",Honeymoon,"On the last day on Corfu, the couples discuss their futures — and pasts. For one pair, it's the pressures of the present that are almost overwhelming."
7,Is She Good Enough for You?,"(same as title_en, this edition airs in English)",Moving In Together,"Back in the UK, the couples settle into each other's worlds and meet their family and friends. Some are supportive, others have some questions."
8,Guess Who's Back,"(same as title_en, this edition airs in English)",Moving In Together,"The couples meet with the pod squad, seeing faces they hadn't seen in weeks — or at all. The return of one single stirs up drama for more than one pair."
9,He Wants a Prenup,"(same as title_en, this edition airs in English)",Wedding,"With just days before the big day, things are getting serious. Even as they try on their wedding outfits, doubts are growing in some people's minds."
10,See You at the Altar,"(same as title_en, this edition airs in English)",Wedding,"After the couples' stag and hen dos, each future bride and groom must decide if their journey together is coming to an end — or if it's just beginning."
11,We're Not Ready,"(same as title_en, this edition airs in English)",Wedding,"The remaining couples meet at the altar, faced with a life-altering decision: either say ""I do"" to their partner, or to walk away forever."
12,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"One year after the weddings, Emma and Matt host the six couples — and one surprise guest — as they unpack all the drama from the pods to the present."
