name,age,profession
Zofia Zborowska-Wrona,39,Actress and Host
Andrzej Wrona,37,Former Professional Volleyball Player and Host
Daria Rybak,35,Office Manager
Ewelina Kubicka,30,Aesthetics
Gosia,28,Marketing
Iza,31,Client Manager
Julia Dumańska,28,Beauty
Julka,24,Business Development
Julita Guzek,37,Neurology
Karolina,30,Training
Kinga Małofiejuk,27,Real Estate
Laura,30,Logistics
Malika,29,Internet Specialist
Marta Frymer,30,Nails
Nicole,28,Hypnotherapist
Paulina,30,Events
Wiktoria,25,Marketing
Aleksander,32,Chef
Damian Gawron,35,Analyst
Fabian,33,Engineer
Filip Lenz,31,Flight Attendant
Filip Lubicz,33,Concept Store
Jacek,,Barber
Kamil Bugdol,27,Broker
Kamil Uno,33,Consultant
Krzysztof Banaszek,36,Carpenter
Marcin,30,Lawyer
Mateusz,32,Team Leader
MP,27,Student
Radek,26,Sales
Robert,33,Director
"""New"" Filip",,Engineer
