name,age,profession
Steffi Brungs,35,sports journalist and TV presenter (Host)
Christian Wackert,35,TV personality and TV presenter (Host)
Alina Rothbauer,28,Account Manager and actress
Ilias Pappas,27,Real Estate Agent
Hanni Hase,28,Real Estate Agent
Daniel Rocco,26,Business Consultant
Sally Osei,27,Marketing Manager
Tolga,34,Insurance Agent
Jennifer Zengel,31,Health Manager
Marcel Braun,36,Marketing Manager
Shella Oire,29,University Student & Model
Pascal,33,IT-Project Manager
Fabio,34,Flight Service Advisor
Alberta,27,University Student & Digital Creator
Hannah,29,Social Media Manager
Medina,31,Quality Assurance and Training Specialist
Shila Hemati,36,Real Estate Agent
