episode,title_en,title_original,phase,milestones
1,Somebody to Love,Episodio 1,Pods,"Zodiac signs, tarot cards and sexy chats light up the pods as 32 singles seek love. As they navigate crushes and competition, pressure takes its toll."
2,A Knife to the Chest,Episodio 2,Pods,"One couple cements their connection. As some participants juggle multiple matches, one contestant's indecision threatens to sabotage their happiness."
3,Another Chance at Love,Episodio 3,Pods,"One couple's engagement causes controversy in the lounges. As more couples pair up, a clash in communication threatens to set a pair back."
4,How I Wish I Could Touch You,Episodio 4,Honeymoon,"Five engaged couples head to Mexico for the next stage of the experiment: a romantic getaway. But as the sun sets, reality starts to sink in for some."
5,Paddling in Place,Episodio 5,Honeymoon,"The paradisiac Mexican vibes shift when the couples meet face to face. Notes are exchanged, past relationships resurface and one bond fractures for good."
6,A New Adventure,Episodio 6,Moving In Together,"Back in Buenos Aires, engaged pairs adjust to daily life together, but real-world issues raise doubts about compatibility. A new couple emerges."
7,"Well, Look Who Showed Up",Episodio 7,Moving In Together,"The couples try to impress their future in-laws, but not everyone is on board. Secret messages are exchanged and emotions run high as exes reappear."
8,Bad Influences,Episodio 8,Wedding,"Fallout from the group's night out ricks several couples. With weddings approaching, dress fittings aren't enough to save one contestant from heartbreak."
9,Farewell to Single Life?,Episodio 9,Wedding,"Red flags fly when a groom's hangups threaten his engagement, and one contestant makes a devastating decision. Final confrontations settle old scores."
10,The Most Important Decision of My Life,Episodio 10,Wedding,"Love is blind ... until it isn't. As wedding days arrive, couples struggle with last-minute deal-breakers. Will they or won't they say ""I do""?"
11,The Reunion,Episodio 11,Reunion,"Between real-life crises, hard lessons learned and cute surprises, one question remains unanswered: who's still together?"
