episode,title_en,title_original,phase,milestones
1,The Pods Are Open Habibi,الحجيرات مفتوحة حبيبي!,Pods,First impressions mean everything when a diverse group of eligible Arab singles are introduced for the first time — completely sight unseen.
2,It's Complicated,القلب وما يريد,Pods,"Only a handful of dates in, and a few couples are already ready to pop the big question. They say, ""when you know, you know"" — but do they really?"
3,"Surprise, Surprise!",مفاجآت,Pods,"Chafic flirts his way to charm a few promising connections, but the women aren't happy when they find out that he has eyes for more than one of them."
4,Catching Up with Cupid,اللعب بالنار,Honeymoon,The next phase heats up as the engaged couples exit the pods and meet in a group setting. Two people recognize each other from outside the show.
5,The Aftermath,ما بعد العاصفة,Honeymoon,"The couples finally get to know each other one-on-one. While some find a deeper connection, others discover things they really wish they hadn't."
6,Realityville,العودة إلى الواقع,Moving In Together,"With their phones back in their hands, the couples return to real life, turning to friends and family to give their blessings — but will they get it?"
7,Family Matters,قصص عائلية,Moving In Together,"Familiar faces crash a night out on the town, taking the couples by surprise. The parents help progress some engagements, while others instill doubt."
8,Almost There,قرّبنا,Wedding,"The big day is fast approaching. The women become emotional selecting the perfect fairytale dress, while the men bond over pre-wedding traditions."
9,Tying the Knot... Or Not?,وش قرارك؟,Wedding,"The moment of truth is here. As vows are declared for the whole world to hear, will the couples leave heartbroken or with a soulmate by their side?"
10,The Reunion,لم الشمل,Reunion,Sparks fly as celebrity couple Khaled Saqer and Elham Ali revisit key moments in a reunion packed with intense drama — and a surprise couple revelation.
