episode,title_en,title_original,phase,milestones
1,The Experiment Begins,Inicia el experimento,Pods,"The singles arrive at their lounges and toast to love with hosts Lucy and Omar Chaparro. Then, they head to the pods to meet their possible soulmates."
2,"Love, and Betrayal?",Amor ¿y traición?,Pods","As the singles open up and form deeper connections, some dreams are shattered while others come true. The first couple decides to tie the knot."
3,The First Night Together,La primera noche juntos,Honeymoon,"As Chema chooses between his two top loves, Francesca seems to find someone who outshines Prince Charming. Next up for the couples: Tulum."
4,It's Not All Roses,No todo es color de rosa,Honeymoon,"Once in paradise, romance keeps blossoming — but not for all. Conversations on blended families, non-negotiables and other hot topics come up."
5,Living Together,Viviendo juntos,Moving In Together,"As couples prepare to live together in Mexico City, some are wary of what could surface. An unexpected reunion — and a sudden split — take place."
6,An Explosive Return,Un regreso explosivo,Moving In Together,Drama erupts during a group barbecue. Two of the men meet their fiancées' families. Real life presents very real challenges for a particular couple.
7,Family or Love?,¿La familia o el nuevo amor?,Moving In Together,Fernando faces a pivotal moment. Willy battles commitment jitters. A gathering turns contentious as relatives cast doubts on a couple's connection.
8,Cold Feet,"Pocos días, muchas dudas",Wedding,A birthday party puts Chema and Gerardo in the hot seat — and prompts Karen to patch up the past. The time to shop for wedding attire arrives.
9,Bachelor and Bachelorette Parties,Las despedidas,Wedding,"After their final dates, bachelor and bachelorette parties give way to bitter aftermaths. The first couple walks toward the altar."
10,Is Love Really Blind?,El verdadero amor ¿es ciego?,Wedding,"Joined by loved ones, the rest of the couples head to the altar. As hearts race, some will be forever bound, while others are bound to break."
11,The Reunion,El reencuentro,Reunion,"As the participants reunite, some find heartfelt reconciliations — others, fiery confrontations. Whose love still sizzles, and whose has turned cold?"
