name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Taylor Haag Hastings,32,Colonoscopy Nurse
Daniel Hastings,30,Sales Account Executive
Virginia Miller,34,Healthcare Recruiter
Devin Buckley,29,youth director and coach
Monica Danús,28,Digital Marketing
Joey Leveille,36,Physician Associate
Sara Carton,29,Oncology Nurse
Ben Mezzenga,28,Developer
Lauren O'Brien,32,educational sales professional
David Bettenburg,33,Account Executive
Molly Mullaney,30,Executive assistant
Madison Errichiello,28,visual artist
Alex Brown,29,Commercial real estate broker
Mason Horacek,33,Cinematographer
Meg Fink,31,Oncology Nurse
Brittany Dodson,35,Partnership executive
