episode,title_en,title_original,phase,milestones
1,The Pods Are Now Open!,Le capsule sono aperte!,Pods,"The pods open as Fabio Caressa and Benedetta Parodi welcome a group of Italian singles, but someone suspects her date isn't as sincere as he seems."
2,It's Always Been You,Sei sempre stato tu,Pods,"It's the pods' first proposal, as one participant makes a choice between two strong connections. The conversation heats up for two other steamy singles."
3,I've Never Had a Christmas Tree,Non ho mai fatto l'albero di Natale,Pods,"A single shows his softer side. Knees bend and love triangles rearrange, as one participant struggles with her relationship with herself."
4,The First Night… On the Couch,La prima notte… sul divano,Honeymoon,"The new couples jet off to Morocco to put their relationships to the test. At their first party together, some connections already start to crack."
5,Moving In Together,L'inizio della convivenza,Honeymoon,"There's trouble in paradise as the couples deal with the fallout from the party, and nerves creep in as they look ahead to living together in Milan."
6,I Left My House Keys With a Friend,Ho lasciato le chiavi di casa a una mia amica,Moving In Together,"The couples learn to live together in Milan. Some prepare to break the news to their families — for others, it seems like the honeymoon's already over."
7,Breaking Up To Avoid Pain,Chiudere per non soffrire,Moving In Together,"With just weeks to go until the weddings, the pressure is mounting for some couples. As reality starts to bite, they all have big decisions to make."
8,The Big Day Approaches,Il grande giorno si avvicina,Weddings,"Bombs and jaws drop at a dramatic party for the couples, singles — and exes. A bride and a groom prepare for the first wedding."
9,The Weddings: Is Love Truly Blind?,I matrimoni: l'amore è davvero cieco?,Weddings,"It's the day of the weddings. As the couples make their way up the aisle, they must make the life-changing decision of whether love is truly blind."
10,The Reunion,La reunion,Reunion,"Fabio and Benedetta host the couples as secrets are spilled and drama is revealed in this spicy reunion episode."
