episode,title_en,title_original,phase,milestones
1,It's fate!,Es ist Schicksal!,Pods,"Fifteen women. Fifteen men. More than 200 speed dates just on the first day. Even with those numbers, one participant sees their options dwindling fast."
2,Oh my God!,Oh mein Gott!,Pods,"Feeling seen without being seen has a profound effect on the singles as they learn more about themselves and each other, leading to the first proposal."
3,What a wimp!,So ein Waschlappen!,Pods,More proposals follow as insecurities slowly melt away. One single backs out of a promise and tries to make amends — only to make things worse.
4,He doesn't see me,Er sieht mich nicht,Honeymoon,"After the final face-to-face meetings, the newly engaged couples are off to Crete to see if their physical chemistry matches their emotional bonds."
5,Full Speed ahead into the Wall,Vollgas gegen die Wand,Moving In Together,The couples open up about things they have trouble saying to each other when they all meet for a seaside party — and one pair reaches a breaking point.
6,I love you,Ich liebe dich,Moving In Together,Reality sets in as the couples return to Germany and move in together. An unexpected bout of jealousy shakes the confidence of one couple.
7,Fear or confidence?,Angst oder Zuversicht?,Wedding,"Meeting families and friends brings the wedding day that much closer. As dress and suit fittings reveal doubts, one couple hits a make-or-break moment."
8,Welcome to our Family!,Willkommen in unserer Familie!,Wedding,"The bachelor and bachelorette gatherings offer an opportunity for reflection. A long-awaited declaration of love sets the stage for the first wedding."
9,A life long?,Ein Leben lang?,Wedding,"Will they dare to do it or not? Towards the end of the experiment, the couples prepare for their walk down the aisle and make important decisions in the process."
10,The Reunion,Die Reunion,Reunion,"In this reunion special, the participants tell about their journey from the pod to the altar and where life has taken them since."
