episode,title_en,title_original,phase,milestones
1,I'm Getting Married!,Eu Vou Casar!,Pods,"During thier first days in the pods, the hopeful singles start getting to know thier potential lovers. Sparks fly as two relationships quickly take root."
2,A Thousand Times Yes,Mil Vezes Sim,Pods,"As Bianca and Jarbas meet in person, Maria and Renan make fateful decisions. Later, competition brews as some singles discover they have the same type."
3,Who Didn't Howl?,Quem Não Uivou?,Honeymoon,"While Patricia and Daniel have a make-or-break talk, Italo confronts Valmir. Howls of glee and horror ensue as the new lovebirds start thier honeymoons."
4,Top Rest!,Top Resto!,Honeymoon,"Reunited for the first time since the pods, the group sounds off on thier new relationships. Doubt towards a particular union casts a shadow in paradise."
5,Move On and Leave the Past Behind!,Pé Direito e Passado nas Costas!,Moving In Together,"As the honeymoon ends, the couples try to readapt to reality. Can new love withstand the pressure of clingy exes, high expectations and burner phones?"
6,A Couple's Tattoo!,Tatuagem de Casal!,Moving In Together,The lovers spend time with family and friends. A shady joke at Daniel's surprise party causes jealousy to flare. Maria meets Menandro's daughter.
7,Trying On Dreams!,Prova dos Sonhos!,Wedding,Shocking news sends Valmir reeling. Agata tells her parents about the experiment. Camila and Klebber take the group shopping for thier wedding finery.
8,"Players Fall in Love, Too!",Os Sonsos Também Amam!,Wedding,"With 10 days to go, Maria and her mother duke it out over her wedding dress. A gift exchange turns sour when burning questions put one couple at risk."
9,We're in It Together!,Tamo Junto!,Wedding,"After a romantic dinner, the lovebirds prepare for the bachelor and bachelorette parties. Wedding bells toll as the first couple walks down the aisle."
10,Did Love Win?,O Amor Venceu?,Wedding,"Through tears, smiles and a tidal wave of emotion, the four remaining couples make a life-changing choice. Who will say I do — and who will walk away?"
11,The Live Reunion,O Reencontro,Reunion,The Season 3 cast sits down for a tell-all conversation about thier relationship status in this live-streamed reunion special.
