episode,title_en,title_original,phase,milestones
1,"Eat, Sleep, Date, Repeat","(same as title_en, this edition airs in English)",Pods,"A new batch of singles enter the pods. One pair instantly find a spiritual connection, while someone has reservations about his potential partner's job."
2,This Is How Triangles Are Formed,"(same as title_en, this edition airs in English)",Pods,"Honest conversations lead to deeper connections — and even the big question. Love triangles are formed, and one is broken just as quickly."
3,Trust My Spleen,"(same as title_en, this edition airs in English)",Pods,One single is torn between two solid connections. Another makes it clear he's made up his mind — and someone starts to doubt the message from his spleen.
4,She Changed Her Mind Overnight,"(same as title_en, this edition airs in English)",Honeymoon,"Hearts are broken and jaws are dropped as dramatic decisions are made. Five newly engaged couples jet off to Cyprus and spend their first night together."
5,I Don’t Want to Be a Villain,"(same as title_en, this edition airs in English)",Honeymoon,"It's the last day in paradise before returning to reality. One fiancée starts to question her decision, while others can't wait to take the next step."
6,Good Guys Finish Last,"(same as title_en, this edition airs in English)",Moving In Together,"The couples learn what life with their partner looks like — for better or worse. Someone meets with an old flame to discuss what went down in the pods."
7,You’re Trying to Get Me in Trouble,"(same as title_en, this edition airs in English)",Moving In Together,"With 14 days until the weddings, one couple's relationship is already under strain — and a reunion with the pod squad threatens to shatter it entirely."
8,Walking Away,"(same as title_en, this edition airs in English)",Moving In Together,"Even the strongest relationships feel the pressure from loved ones. One flirty fiancé's actions get back to his partner and incites a dramatic backlash."
9,Don’t Let Anyone Dim your Sparkle,"(same as title_en, this edition airs in English)",Wedding,"As the couples celebrate the stag and hen, one groom-to-be wrestles with doubts and cracks begin to show in another couple's relationship."
10,A Risk Worth Taking?,"(same as title_en, this edition airs in English)",Wedding,"As the remaining couples prepare for the biggest day of their lives, it's time for them to make the final decision about whether love is truly blind."
11,The Reunion,"(same as title_en, this edition airs in English)",Reunion,"Who's saying ""I still do?"" Emma and Matt host this season's couples and special guests as tea is spilled and secrets are revealed in a fiery reunion."
12,After the Altar: You're still Married!,"(same as title_en, this edition airs in English)",After the show,"Ahead of Kieran's 30th birthday bash, former participants catch up on the drama over dinners and drinks. Meanwhile, Jasmine and Bobby host a baby shower."
13,After the Altar: I'm Here To Cause Some Chaos,"(same as title_en, this edition airs in English)",After the show,"Kieran and Megan are the first getaway arrivals, but drama soon follows as exes Katisha and Javen air out unresolved isssues, and Sarover snubs Kal."
14,After the Altar: Falling in Love with You More and More,"(same as title_en, this edition airs in English)",After the show,"Jasmine and Bobby prepare for their firstborn. On the final night of the retreat, Billy and Ashleigh seek closure-but elsewhere, more conflict sparks."
