name,age,profession
Nick Lachey,52,"Singer-songwriter, TV personality, producer, actor"
Vanessa Lachey,45,"Television personality, host, actress, model"
Christine Hamilton,31,Speech-language pathologist
Victor St. John,34,Professor
Amber Morrison,34,Nurse practitioner
Jordan Faeth,34,Account Executive
Brianna McNees,34,Senior merchant
Connor Spies,32,Account Management
Brittany Wicker,33,Registered nurse
Devonta Anderson,32,loan officer
Ashley Carpenter,34,Claims manager
Alex Henderson,31,financial sales professional
Emma Betsinger,28,Retail merchandising
Mike Gibney,30,Sales manager
Jessica Barrett,39,Infectious diseases physician
Chris Fusco,33,Account Executive
Kevan Jones,32,Realtor
Keya Kellum,31,Marketing director
Tyler Lanier,33,Sales leader
Haramol Gill,36,E.R. doctor
Priyanka Grandhi,34,Recruiter
