episode,title_en,title_original,phase,milestones
1,The Love of My Life,Busco al amor de mi vida,Pods,"Ready, set, date! As the pods open, some singles check off family values, while others hope they can find a fellow fan of the same soccer team."
2,Three's a Crowd,Tres son multitud,Pods,"Tom and Juli struggle to find their best matches. A chat in the lounges shifts dynamics in the pods, sending sparks flying in new directions."
3,The Face Behind the Voice,Ponerle cara a la voz,Pods,"Stories of loss and heartbreak are shared, bringing the singles closer together. As emotions peak, a contestant faces a crushing disillusion."
4,Sun. Sand. Sparks.,"Sol, playa y pasión",Honeymoon,"As the couples head to Tulum, Mexico, for a romantic getaway, paradise doesn't always prove sunny, with jealousy and doubts tagging along."
5,Trouble in Paradise,Tormenta en el paraíso,Honeymoon,"As the sun sets on their getaway, most connections grow stronger — but one pair drifts apart. Later, they head back home, where a big surprise awaits."
6,Bumps in the Road,Cortocircuitos en la convivencia,Moving In Together,"As friends and family step into the picture, the pressure on the couples mounts. For two of the pairs, the topic of intimacy begins to weigh heavily."
7,Keeping It Together,Sostener,Moving In Together,"Strong bonds begin to fray. A contestant faces a surprise that could be a big win or a huge flop. More unexpected twists are on the horizon."
8,One Week Till the Wedding,Una semana y... ¿nos casamos?,Wedding,Two women feel uneasy when it comes to involving relatives. A shocking exit takes place before it's time to try on wedding attire.
9,Ghosts from Pods Past,Enfrentar a los fantasmas,Wedding,As the couples' wedding dates approach fears about the future intertwine with bubbling enthusiasm. But first: bachelor and bachelorette parties.
10,What if I Do is I Don't?,¿Y si me dice «no»?,Wedding,"With guests arriving and wedding bells chiming, the couples are ready to walk down the aisle. Who will say ""I do""... and will any dare to say ""I don't?"""
11,The Reunion,El reencuentro,Reunion,"Which couples are still together, and whose love has fizzled? Wanda and Darío catch up with the participants to revisit the love — and the drama."
