name,age,profession
Emma Willis,48,TV Presenter
Matt Willis,41,Musician & TV Presenter
Benaiah,33,Structural Landscaper
Bobby,33,Luxury Shopping Guide
Catherine,29,Dental Nurse
Charlie,34,Gym General Manager
Demi,30,Corporate Recruitment Executive
Ella,27,Social Worker
Elleine,29,Aesthetician
Freddie,30,Funeral Director
Ismail,28,Video Producer
Jasmine,29,Mental Health Nurse
Jake,32,Civil Engineer
Joanes,31,Resident Service Manager
Javen,29,Financial Analyst
Jordan,32,Fashion Designer
Kieran,28,Consultant
Maria,30,Makeup Artist
Nicole,29,Head of Marketing
Ollie,33,Software Sales
Priya,37,Procurement Manager
Ria,30,Commercial Partner
Sam,31,Product Design Manager
Sharlotte,35,Global Communications Director
Shirley,26,Junior Doctor
Tom,38,PR & Advertising Consultant
Steven,37,Gym Owner
Sabrina,35,Director of Marketing and Communications
Tasha,30,Video Editor
Vikram,32,Software Engineer
